split_seed,init_seed,fold,n_runs,mean_test_bacc,mean_test_acc,mean_test_macro_f1,mean_test_temporal_acc
3407,2025,1,1,0.5833333333333334,0.5833333333333334,0.5555555555555556,0.6031586021505376
3407,2025,2,1,0.75,0.75,0.7428571428571429,0.6804435483870968
3407,2025,3,1,0.875,0.875,0.8747826086956522,0.8202284946236559
3407,2025,4,1,0.5833333333333334,0.5833333333333334,0.5555555555555556,0.6078629032258065
3407,2025,5,1,0.7211538461538461,0.72,0.72,0.7222580645161291
3407,2026,1,1,0.5,0.5,0.4857142857142857,0.5483870967741935
3407,2026,2,1,0.75,0.75,0.7482517482517483,0.6905241935483871
3407,2026,3,1,0.9166666666666667,0.9166666666666666,0.916083916083916,0.8235887096774194
3407,2026,4,1,0.7083333333333334,0.7083333333333334,0.7037037037037037,0.6374327956989247
3407,2026,5,1,0.7948717948717949,0.8,0.7947454844006567,0.6961290322580646
3407,2027,1,1,0.625,0.625,0.6079854809437386,0.6061827956989247
3407,2027,2,1,0.5,0.5,0.5,0.5544354838709677
3407,2027,3,1,0.875,0.875,0.8747826086956522,0.7768817204301075
3407,2027,4,1,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6115591397849462
3407,2027,5,1,0.6858974358974359,0.68,0.6753246753246753,0.6119354838709677
