split_seed,n_runs,mean_test_bacc,std_test_bacc,mean_test_acc,std_test_acc,mean_test_macro_f1,std_test_macro_f1,frac_test_bacc_gt_chance,frac_test_bacc_gt_majority
1685,15,0.4074074074074074,0.16754618024940754,0.3988095238095238,0.1588133993754482,0.3344973544973545,0.1539033300088802,0.7333333333333333,0.7333333333333333
2610,15,0.3555555555555555,0.15112745009706047,0.3642857142857142,0.16488356170729332,0.25998236331569663,0.14117789345898876,0.4,0.4
3657,15,0.337037037037037,0.1591792588534937,0.3547619047619047,0.1716604865522146,0.26469135802469135,0.1573931110928296,0.3333333333333333,0.3333333333333333
4257,15,0.36666666666666664,0.10665674557036407,0.36190476190476184,0.10179391899143383,0.2698941798941799,0.11538864271102708,0.4666666666666667,0.4666666666666667
4557,15,0.4222222222222222,0.14517519671935838,0.41547619047619044,0.14309079531740515,0.30624819624819627,0.14523570267536712,0.6,0.6
5765,15,0.337037037037037,0.15209684714427413,0.3357142857142857,0.15215291717243423,0.24710758377425043,0.13458435805164515,0.3333333333333333,0.3333333333333333
5905,15,0.3666666666666666,0.1637307550251127,0.3619047619047619,0.15849756200741225,0.286031746031746,0.15580134298845544,0.5333333333333333,0.5333333333333333
7233,15,0.39259259259259255,0.13843842292866068,0.3904761904761905,0.14442170462154236,0.29970017636684304,0.13816587777894937,0.5333333333333333,0.5333333333333333
7421,15,0.3444444444444444,0.10113988775919994,0.3452380952380952,0.10876046468422462,0.25774250440917107,0.10858737457779401,0.26666666666666666,0.26666666666666666
9136,15,0.36296296296296293,0.12219816983150968,0.37976190476190474,0.12195016028599703,0.29497354497354494,0.1230153853646492,0.5333333333333333,0.5333333333333333
